mondo_id,mondo_name,mondo_depth,n_genes_ppi,n_genes_direct,n_genes_propagated,passed_direct_filter,in_omim,in_gwas
MONDO:0700092,neurodevelopmental disorder,3,333,1,332,True,True,False
MONDO:0018230,skeletal dysplasia,3,329,1,328,True,True,False
MONDO:0005083,psoriasis,3,321,320,1,True,True,True
MONDO:0005044,hypertensive disorder,5,318,295,23,True,True,True
MONDO:0008383,rheumatoid arthritis,4,288,242,46,True,True,True
MONDO:0004995,cardiovascular disorder,2,288,288,0,True,False,True
MONDO:0001627,dementia,4,280,28,252,True,True,True
MONDO:0005420,hypothyroidism,4,279,273,6,True,True,True
MONDO:0007915,systemic lupus erythematosus,5,276,275,1,True,True,True
MONDO:0005011,Crohn disease,4,259,259,0,True,False,True
MONDO:0005575,colorectal cancer,5,258,249,9,True,True,True
MONDO:0005301,multiple sclerosis,5,232,232,0,True,True,True
MONDO:0002009,major depressive disorder,6,227,226,1,True,True,True
MONDO:0005399,venous thromboembolism,4,212,212,0,True,True,True
MONDO:0005062,lymphoma,5,205,16,189,True,True,True
MONDO:0005252,heart failure,4,205,204,1,True,False,True
MONDO:0005365,hearing loss disorder,4,202,179,23,True,True,True
MONDO:0005178,osteoarthritis,4,201,201,0,True,False,True
MONDO:0005244,peripheral neuropathy,4,201,23,178,True,True,False
MONDO:0005068,myocardial infarction,5,200,200,0,True,True,True
MONDO:0002269,gastroenteritis,3,190,3,187,True,False,True
MONDO:0004970,adenocarcinoma,7,188,3,185,True,True,True
MONDO:0004580,retinal degeneration,4,183,2,181,True,True,False
MONDO:0005618,anxiety disorder,4,181,49,132,True,False,True
MONDO:0005101,ulcerative colitis,5,181,181,0,True,False,True
MONDO:0005027,epilepsy,5,178,69,109,True,True,True
MONDO:0005391,restless legs syndrome,3,177,177,0,True,False,True
MONDO:0019118,inherited retinal dystrophy,4,172,5,167,True,True,False
MONDO:0020804,basal cell carcinoma,7,169,169,0,True,True,True
MONDO:0011057,cerebrovascular disorder,4,169,37,132,True,True,True
MONDO:0004975,Alzheimer disease,5,168,166,2,True,True,True
MONDO:0008903,lung cancer,4,160,101,59,True,True,True
MONDO:0005180,Parkinson disease,4,160,158,2,True,True,True
MONDO:0005147,type 1 diabetes mellitus,4,154,154,0,True,True,True
MONDO:0005277,migraine disorder,4,152,150,2,True,True,True
MONDO:0005336,myopathy,5,149,38,111,True,True,False
MONDO:0004994,cardiomyopathy,4,145,50,95,True,True,True
MONDO:0005160,aortic aneurysm,6,143,12,131,True,True,True
MONDO:0001071,intellectual disability,4,141,86,55,True,True,False
MONDO:0005002,chronic obstructive pulmonary disease,5,141,129,12,True,False,True
MONDO:0005350,abdominal aortic aneurysm,7,134,134,0,True,False,True
MONDO:0005516,osteochondrodysplasia,4,131,2,129,True,True,False
MONDO:0002898,skin cancer,4,130,73,57,True,False,True
MONDO:0004784,allergic asthma,4,130,130,0,True,False,True
MONDO:0021094,immunodeficiency disease,3,128,16,112,True,True,False
MONDO:0002525,inherited lipid metabolism disorder,4,121,27,94,True,False,True
MONDO:0005623,autoimmune thyroid disease,4,116,80,36,True,True,True
MONDO:0005146,post-traumatic stress disorder,6,115,115,0,True,False,True
MONDO:0100308,atactic disorder,3,114,6,108,True,True,False
MONDO:0002367,kidney cancer,5,112,74,38,True,False,True
MONDO:0004985,bipolar disorder,5,111,89,22,True,False,True
MONDO:0005041,glaucoma,4,108,105,3,True,True,True
