disease,z_score,separation,n_genes,p_value,p_adj_fdr,p_adj_bonf,sig_fdr,relationship
depressive disorder,2.7628084277437805,0.04276047652173909,381,0.0065,0.01325,1.0,*,Separated
breast cancer,2.812757953909884,0.06473563210117317,343,0.0041,0.008833333333333334,1.0,**,Separated
generalized epilepsy,2.8283768745596647,0.4328449168440198,31,0.0033,0.0074110169491525425,0.8744999999999999,**,Separated
spondyloarthropathy,2.8769913630900623,0.45834067530599176,27,0.0041,0.008833333333333334,1.0,**,Separated
dilated cardiomyopathy,2.879780193763887,0.5015246807699638,22,0.0035,0.007794117647058824,0.9275,**,Separated
chronic kidney disease,2.8826337267517825,0.3066167973317808,73,0.0036,0.007884297520661157,0.954,**,Separated
epilepsy,2.8925319938185488,0.19213184592066823,178,0.0042,0.008975806451612903,1.0,**,Separated
ankylosing spondylitis,2.9286727150081977,0.45834067530599176,27,0.0036,0.007884297520661157,0.954,**,Separated
childhood onset asthma,2.9360395066988643,0.4644113205399507,32,0.0025,0.005760869565217391,0.6625,**,Separated
bone fracture,2.947161835692078,0.4383021082095302,31,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
ectodermal dysplasia syndrome,3.0045912497219196,0.40411368864109676,48,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
lissencephaly spectrum disorders,3.0491007159838617,0.6005644034606139,20,0.0032,0.007247863247863248,0.8480000000000001,**,Separated
cholestasis,3.0795269433537626,0.4995581843433803,23,0.0018,0.004457943925233645,0.477,**,Separated
adolescent idiopathic scoliosis,3.0947589938451707,-0.00572305320588784,652,0.0021,0.005059090909090909,0.5565,**,Separated
basal cell carcinoma,3.1054554865822612,0.18088258398266377,169,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
arthritic joint disease,3.11078493567604,0.031977887827590035,487,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
scoliosis,3.1144376698359126,-0.00572305320588784,652,0.0017,0.004331730769230769,0.45049999999999996,**,Separated
abdominal aortic aneurysm,3.1178668213243768,0.21240999777468383,134,0.0018,0.004457943925233645,0.477,**,Separated
chronic primary adrenal insufficiency,3.118236387595219,0.5219108751241448,21,0.0014,0.003637254901960784,0.371,**,Separated
celiac disease,3.1333243017347403,0.34922751331541146,59,0.0023,0.005490990990990991,0.6095,**,Separated
cardiac rhythm disease,3.1402941980729744,-0.01117965801963372,749,0.0018,0.004457943925233645,0.477,**,Separated
Achoo syndrome,3.1436784908525177,0.4984342775117754,26,0.0028,0.0063965517241379305,0.742,**,Separated
multiple sclerosis,3.1731647330060646,0.1402367982448458,232,0.0019,0.004662037037037037,0.5035,**,Separated
vitiligo,3.1800951981799437,0.35306294672470573,69,0.002,0.004862385321100917,0.53,**,Separated
gout,3.1892767500364654,0.056805818762795335,384,0.0009,0.002564516129032258,0.2385,**,Separated
hemolytic anemia,3.2007060485610928,0.5423139445491774,28,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
autoinflammatory syndrome,3.2258224403092797,0.29811111903687126,89,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
idiopathic membranous glomerulonephritis,3.2419640049090543,0.5006287312640731,21,0.0011,0.003005154639175258,0.29150000000000004,**,Separated
systemic lupus erythematosus,3.2508882195323205,0.10882164486304435,276,0.0007,0.0020384615384615385,0.1855,**,Separated
glaucoma,3.2589766539072693,0.2564450249760224,108,0.001,0.0027894736842105266,0.265,**,Separated
substance dependence,3.2786498796234516,0.2564854789394233,104,0.001,0.0027894736842105266,0.265,**,Separated
