mondo_id,mondo_name,depth
MONDO:0011318,Tonoki syndrome,3
MONDO:0011320,radioulnar synostosis-microcephaly-scoliosis syndrome,3
MONDO:0011321,expansile bone lesions,3
MONDO:0011322,"Oroacral syndrome, Verloes-Koulischer type",3
MONDO:0011332,"Dyserythropoiesis, congenital, with ultrastructurally normal erythroblast heterochromatin",3
MONDO:0014527,progeroid features-hepatocellular carcinoma predisposition syndrome,3
MONDO:0014528,chronic atrial and intestinal dysrhythmia,3
MONDO:0800387,sulfur mustard poisoning,3
MONDO:0800355,"parasomnia, sleep terrors type",3
MONDO:0019017,short fifth metacarpals-insulin resistance syndrome,3
MONDO:0014541,motor developmental delay due to 14q32.2 paternally expressed gene defect,3
MONDO:0017811,severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion,3
MONDO:0017813,van Maldergem syndrome,3
MONDO:0011315,Osebold skeletal dysplasia/osteolysis syndrome,3
MONDO:0011316,"osteosclerotic chondrodysplasia, lethal, with intracellular inclusions",3
MONDO:0018981,benign idiopathic neonatal seizures,3
MONDO:0020579,mucositis,3
MONDO:0000334,multinodular goiter,3
MONDO:0800373,carbon monoxide poisoning,3
MONDO:0800378,"17,20-lyase deficiency, isolated",3
MONDO:0800379,"17-alpha-hydroxylase/17,20-lyase deficiency, combined complete",3
MONDO:0800380,"17-alpha-hydroxylase/17,20-lyase deficiency, combined partial",3
MONDO:0800386,organophosphate poisoning,3
MONDO:0014956,Chitayat syndrome,3
MONDO:0014957,language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia,3
MONDO:0014963,Shashi-Pena syndrome,3
MONDO:0011343,"follicular atrophoderma, perioral pigmented, with milia and epidermoid cysts",3
MONDO:0011344,"parotitis, juvenile recurrent",3
MONDO:0011345,"facial dysmorphism, selective tooth agenesis, and choroid calcification",3
MONDO:0018976,schisis association,3
MONDO:0018978,IgG4-related mediastinitis,3
MONDO:0011308,GRACILE syndrome,3
MONDO:0011309,familial gestational hyperthyroidism,3
MONDO:0011310,"long chain fatty acids, defect in transport of",3
MONDO:0017769,acquired immunodeficiency,3
MONDO:0017771,Mayer-Rokitansky-Kuster-Hauser syndrome,3
MONDO:0017773,hypoalphalipoproteinemia,3
MONDO:0013332,"brachydactyly, type A1, with short stature, scoliosis, microcephaly, ptosis, hearing loss, and intellectual disability",3
MONDO:0013333,odontoid hypoplasia,3
MONDO:0017798,Spigelian hernia-cryptorchidism syndrome,3
MONDO:0017804,autosomal recessive leukoencephalopathy-ischemic stroke-retinitis pigmentosa syndrome,3
MONDO:0017808,duplication of the pituitary gland,3
MONDO:0019016,maternally-inherited progressive external ophthalmoplegia,3
MONDO:0017579,Baraitser-Winter cerebrofrontofacial syndrome,3
MONDO:0010904,"setting-Sun phenomenon, familial benign",3
MONDO:0010908,loose anagen syndrome,3
MONDO:0010910,"enuresis, nocturnal, 1",3
MONDO:0021945,hearing disorder,3
MONDO:0021960,ureteritis,3
MONDO:0021962,baetz-greenwalt syndrome,3
MONDO:0021964,bagatelle Cassidy syndrome,3
MONDO:0021966,baker Vinters syndrome,3
MONDO:0017782,developmental and speech delay due to SOX5 deficiency,3
MONDO:0017787,erythroderma desquamativum,3
MONDO:0017789,idiopathic linear interstitial keratitis,3
MONDO:0014535,hyperproinsulinemia,3
MONDO:0800296,"microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 2",3
MONDO:0800299,"myopathy, congenital, with excess of muscle spindles",3
MONDO:0800300,black locks with albinism and deafness syndrome,3
MONDO:0800310,"pregnancy loss, recurrent, 4",3
MONDO:0000922,pelvic inflammatory disease,3
MONDO:0000358,orofacial cleft,3
MONDO:0000359,spondylocostal dysostosis,3
MONDO:0010944,mitochondrial import-stimulating factor,3
MONDO:0011288,"spastic paraplegia, optic atrophy, microcephaly, and 10Y sex reversal",3
MONDO:0011289,apraxia of eyelid opening,3
MONDO:0011290,"dislocated elbows, bowed tibias, scoliosis, deafness, cataract, microcephaly, and intellectual disability",3
MONDO:0011306,"muscular dystrophy, congenital, with cerebellar atrophy",3
MONDO:0017569,de Barsy syndrome,3
MONDO:0017571,Proteus-like syndrome,3
MONDO:0017573,"46,XX disorder of sex development-anorectal anomalies syndrome",3
MONDO:0043073,Zadik-Barak-Levin syndrome,3
MONDO:1012887,"skeletal-cardio-enteric dysplasia, MAP2K2-related, cattle",3
MONDO:0042497,mycotoxicosis,3
MONDO:0017583,mirror polydactyly-vertebral segmentation-limbs defects syndrome,3
MONDO:0010928,"dwarfism, familial, with muscle spasms",3
MONDO:0010930,anophthalmia plus syndrome,3
MONDO:0010937,isoproterenol-mediated vasodilatation,3
MONDO:0010941,"nocturnal enuresis, 2",3
MONDO:0000385,benign digestive system neoplasm,3
MONDO:0042970,disorder of glutamate decarboxylase,3
MONDO:0042973,familial osteosclerosis,3
MONDO:0042981,aortic valve stenosis,3
MONDO:0042983,neurocutaneous syndrome,3
MONDO:0043009,hereditary lethal multiple congenital anomalies/dysmorphic syndrome,3
MONDO:0043069,Zerres Rietschel Majewski syndrome,3
MONDO:0043071,Zazam Sheriff Phillips syndrome,3
MONDO:0013334,cocoon syndrome,3
MONDO:0013335,"tuberculin skin test reactivity, absence of",3
MONDO:0013353,"intellectual disability, anterior maxillary protrusion, and strabismus",3
MONDO:0022007,water intoxication,3
MONDO:0022011,bobble-head doll syndrome,3
MONDO:0022013,Boerhaave syndrome,3
MONDO:0000376,respiratory system cancer,3
MONDO:0000382,respiratory system benign neoplasm,3
MONDO:0009129,"dwarfism, proportionate, with hip dislocation",3
MONDO:0009130,Dyggve-Melchior-Clausen disease,3
MONDO:0009132,dysautonomia-like disorder,3
MONDO:0009133,"cerebellar ataxia, intellectual disability, and dysequilibrium",3
MONDO:0009137,dysmyelination with jaundice,3
MONDO:0009142,dystonia with Ringbinden,3
MONDO:0019296,subcutaneous tissue disorder,3
MONDO:0042960,Sackey-Sakati-Aur syndrome,3
MONDO:0042962,Slti-Salem syndrome,3
MONDO:0000409,chorioamnionitis,3
MONDO:0000425,X-linked disease,3
MONDO:0000428,Y-linked disease,3
MONDO:0000429,autosomal genetic disease,3
MONDO:0001028,acute pericementitis,3
MONDO:0001029,Klippel-Feil syndrome,3
MONDO:0042605,Y chromosome infertility due to DAZ1 deletion,3
MONDO:0042705,prostatic malacoplakia associated with prostatic abscess,3
MONDO:0042717,Saul-Wilkes-Stevenson syndrome,3
MONDO:0042726,"macrogyria, pseudobulbar palsy and intellectual disability",3
MONDO:0042911,Schwartz-Cohen-addad-Lambert syndrome,3
MONDO:0042912,Schlegelberger-Grote syndrome,3
MONDO:0042913,Schrander-stumpel-Theunissen-Hulsmans syndrome,3
MONDO:0042956,Saal-Bulas syndrome,3
MONDO:0017575,mitochondrial neurogastrointestinal encephalomyopathy,3
MONDO:0017577,spontaneous periodic hypothermia,3
MONDO:0042498,Ruzicka-Goerz-Anton syndrome,3
MONDO:0042600,Sammartino-Decreccio syndrome,3
MONDO:0042601,Samson-Gardner syndrome,3
MONDO:0042602,Samson-Viljoen syndrome,3
MONDO:0042603,Sanderson-Fraser syndrome,3
MONDO:0042604,Sandhaus-Ben-Ami syndrome,3
MONDO:0009156,ectrodactyly-polydactyly syndrome,3
MONDO:0009163,"encephalomalacia, multilocular",3
MONDO:0009167,Bonnemann-Meinecke-Reich syndrome,3
MONDO:0009127,"dwarfism, low-birth-weight type, with unresponsiveness to growth hormone",3
MONDO:0009128,"dwarfism, intellectual disability, and eye abnormality",3
MONDO:0009407,hypertrophic neuropathy and cataract,3
MONDO:0009408,"hyperuricemia, infantile, with abnormal behavior and normal hypoxanthine guanine phosphoribosyltransferase",3
MONDO:0017357,transient hyperammonemia of the newborn,3
MONDO:0017640,cyanide-induced parkinsonism,3
MONDO:0017642,intellectual disability-microcephaly-phalangeal-facial abnormalities syndrome,3
MONDO:0017648,Sydenham chorea,3
MONDO:0019313,lymphatic malformation,3
MONDO:0019321,atypical Werner syndrome,3
MONDO:0009150,hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,3
MONDO:0009152,"ectopia lentis 2, isolated, autosomal recessive",3
MONDO:0009153,ectopia lentis et pupillae,3
MONDO:0001295,idiopathic peripheral autonomic neuropathy,3
MONDO:0001046,imperforate anus,3
MONDO:0001051,acute otitis externa,3
MONDO:0021383,neoplasm of floor of mouth,3
MONDO:8000010,antiphospholipid syndrome,3
MONDO:0009184,epidermolysis bullosa with diaphragmatic hernia,3
MONDO:0017627,congenital hereditary facial paralysis-variable hearing loss syndrome,3
MONDO:0017638,manganese poisoning,3
MONDO:0010952,hereditary hyperferritinemia with congenital cataracts,3
MONDO:0019284,inherited isolated nail anomaly,3
MONDO:0019287,ectodermal dysplasia syndrome,3
MONDO:0010919,"varicella, severe recurrent",3
MONDO:0010920,microtia,3
MONDO:0001031,purulent acute otitis media,3
MONDO:0001039,tonsillitis,3
MONDO:0001040,nasopharyngitis,3
MONDO:0009186,"epilepsy, photogenic, with spastic diplegia and intellectual disability",3
MONDO:0009187,celiac disease-epilepsy-cerebral calcification syndrome,3
MONDO:0009190,"epiphyseal dysplasia of femoral head, myopia, and deafness",3
MONDO:0009192,Wolcott-Rallison syndrome,3
MONDO:0009193,"epithelial squamous dysplasia, keratinizing desquamative, of urinary tract",3
MONDO:0019342,Seckel syndrome,3
MONDO:0019349,Sotos syndrome,3
MONDO:0019354,Stickler syndrome,3
MONDO:0001314,chondrocalcinosis,3
MONDO:0600017,acinar dysplasia caused by mutation in FGF10,3
MONDO:0600018,acinar dysplasia caused by mutation in FGFR2,3
MONDO:0600019,acinar dysplasia caused by mutation in TBX4,3
MONDO:0017340,juvenile nasopharyngeal angiofibroma,3
MONDO:0017613,intellectual disability-hypotonia-skin hyperpigmentation syndrome,3
MONDO:0009173,congenital enteropathy due to enteropeptidase deficiency,3
MONDO:0009174,protein-losing enteropathy,3
MONDO:0009176,epidermodysplasia verruciformis,3
MONDO:0009181,"epidermolysis bullosa simplex 5B, with muscular dystrophy",3
MONDO:0042485,infective arthritis,3
MONDO:0001064,acute eustachian salpingitis,3
MONDO:0001073,idiopathic progressive polyneuropathy,3
MONDO:0001309,oculomotor nerve paralysis,3
MONDO:0011262,"camptodactyly, myopia, and fibrosis of the medial rectus muscle of eye",3
MONDO:0011263,"skeletal dysplasia and progressive central nervous system degeneration, lethal",3
MONDO:0011267,"intellectual disability, severe, with spasticity and pigmentary tapetoretinal degeneration",3
MONDO:0011282,tumor suppressor gene on chromosome 11,3
MONDO:0009168,Fowler syndrome,3
MONDO:0009170,endocardial fibroelastosis and coarctation of abdominal aorta,3
MONDO:0009171,"endothelial dystrophy, congenital hereditary, with nail hypoplasia",3
MONDO:0009172,enterocolitis,3
